recordType,sourceRecordId,sourceTransactionId,parentTransactionId,artistId,artistName,venueId,venueName,productId,sku,productName,occurredAt,quantity,unitPrice,totalAmount,commissionAmount,tenantAmount,rentalId,rentalCommissionRate,cubeId,cubeCommissionRate,currency
sale,PLANB-P1-SALE-001,PLANB-P1-TX-SALE-001,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:00:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
refund,PLANB-P1-REFUND-001,PLANB-P1-TX-REFUND-001,PLANB-P1-TX-SALE-001,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-19T04:00:00.000Z,-1,50.00,-50.00,-12.50,-37.50,RENTAL-001,0.25,CUBE-001,0.25,TWD
exchange,PLANB-P1-EXCHANGE-001,PLANB-P1-TX-EXCHANGE-001,PLANB-P1-TX-SALE-001,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-19T05:00:00.000Z,1,,,,,,,,,TWD
sale,PLANB-P1-SALE-002,PLANB-P1-TX-SALE-002,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:01:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-003,PLANB-P1-TX-SALE-003,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:02:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-004,PLANB-P1-TX-SALE-004,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:03:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-005,PLANB-P1-TX-SALE-005,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:04:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-006,PLANB-P1-TX-SALE-006,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:05:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-007,PLANB-P1-TX-SALE-007,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:06:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-008,PLANB-P1-TX-SALE-008,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:07:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-009,PLANB-P1-TX-SALE-009,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:08:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-010,PLANB-P1-TX-SALE-010,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:09:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-011,PLANB-P1-TX-SALE-011,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:10:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-012,PLANB-P1-TX-SALE-012,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:11:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-013,PLANB-P1-TX-SALE-013,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:12:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-014,PLANB-P1-TX-SALE-014,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:13:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-015,PLANB-P1-TX-SALE-015,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:14:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-016,PLANB-P1-TX-SALE-016,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:15:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-017,PLANB-P1-TX-SALE-017,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:16:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-018,PLANB-P1-TX-SALE-018,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:17:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-019,PLANB-P1-TX-SALE-019,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:18:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-020,PLANB-P1-TX-SALE-020,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:19:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-021,PLANB-P1-TX-SALE-021,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:20:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-022,PLANB-P1-TX-SALE-022,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:21:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-023,PLANB-P1-TX-SALE-023,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:22:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-024,PLANB-P1-TX-SALE-024,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:23:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-025,PLANB-P1-TX-SALE-025,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:24:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-026,PLANB-P1-TX-SALE-026,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:25:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-027,PLANB-P1-TX-SALE-027,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:26:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
sale,PLANB-P1-SALE-028,PLANB-P1-TX-SALE-028,,ART-001,Sample Creator A,VENUE-001,Cornven Sample Venue,PROD-001,SKU-A-001,Sample Ceramic Cup,2026-09-18T04:27:00.000Z,2,50.00,100.00,25.00,75.00,RENTAL-001,0.25,CUBE-001,0.25,TWD
